model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,clean,clean,clean,500,0.412,0.664758232563734,0.0
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_02,level_1,500,0.418,0.6631016190946102,-0.006000000000000005
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_02,level_2,500,0.406,0.6631956787407398,0.00599999999999995
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_02,level_3,500,0.404,0.6575990636944771,0.007999999999999952
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_02,level_4,500,0.394,0.6725818443596363,0.01799999999999996
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_03,level_1,500,0.348,0.6196868961453438,0.064
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_03,level_2,500,0.348,0.6111881586015224,0.064
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_03,level_3,500,0.336,0.5976396162509918,0.07599999999999996
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_03,level_4,500,0.302,0.5835115811526775,0.10999999999999999
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_03,level_5,500,0.224,0.5345226024687291,0.18799999999999997
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_04,level_1,500,0.39,0.6531852921545506,0.021999999999999964
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_04,level_2,500,0.28,0.5703093878179789,0.13199999999999995
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_04,level_3,500,0.224,0.5197848980352282,0.18799999999999997
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_04,level_4,500,0.176,0.4768744929879904,0.236
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,native_cure_or,native_challenge_type_04,level_5,500,0.146,0.44607244960218667,0.266
